#{"t_start": 1751999596.7623076, "env_id": "None"}
r,l,t
-41.35,25,2.248026
32.039683,54,2.50334
-42.0,40,3.006019
-32.66,30,3.213168
-36.0,55,3.565454
40.273973,25,3.727247
37.719697,26,3.891648
-33.0,49,4.177009
-41.54,26,4.334908
-35.16,37,4.548892
-41.12,49,4.831576
-32.78,44,5.061432
-38.81,61,5.399459
-38.41,33,5.580611
-35.95,33,5.754605
-38.13,54,6.043079
-35.61,33,6.216135
-44.75,38,6.433853
-35.08,60,6.752926
35.362229,44,7.160509
32.826923,35,7.365877
-35.25,42,7.591083
35.018248,27,7.727538
-38.54,34,7.922365
33.0,27,8.066774
-33.0,34,8.248526
32.580769,73,8.63087
-45.0,33,8.820666
-42.0,20,8.93735
-35.19,48,9.183246
-38.61,40,9.381836
-42.0,32,9.567126
-35.67,29,9.720077
-38.22,23,9.854671
-35.16,38,10.056931
-38.65,23,10.179068
32.135371,45,10.421849
-38.56,27,10.562444
-32.52,34,10.740256
-35.67,31,10.908633
38.008511,26,11.052044
-35.81,51,11.328582
32.184739,130,12.026581
-35.12,41,12.23066
-41.65,31,12.395138
-35.97,33,12.556481
34.965263,38,12.75031
38.023438,21,12.859992
-41.9,18,12.958008
32.679688,37,13.156855
32.108974,32,13.521349
38.505703,23,13.638404
32.386861,44,13.864527
-38.91,24,13.990601
-36.0,37,14.179677
-38.12,33,14.366807
-39.0,32,14.536711
-38.05,47,14.784727
-33.0,30,14.940295
-35.61,29,15.083153
-41.85,34,15.263364
-41.55,24,15.381432
-38.44,43,15.590232
-35.64,29,15.730463
32.145455,40,15.939419
-39.0,27,16.07391
-38.42,34,16.261232
-42.0,72,16.609858
-32.12,69,16.944726
35.019061,67,17.285335
-35.88,31,17.429704
-38.69,32,17.599092
-36.0,33,17.775748
-41.04,39,17.976994
38.325103,27,18.125682
-33.0,44,18.333253
32.333333,28,18.470122
-32.35,42,18.670725
-38.56,39,18.866544
32.264901,33,19.032631
-41.26,18,19.140902
-32.5,34,19.306937
-36.0,33,19.469971
-32.65,48,19.725104
38.123451,27,19.878491
-32.54,44,20.104708
-36.0,31,20.279829
-38.79,35,20.468612
32.44127,42,20.689052
35.727586,30,21.098415
35.620301,30,21.255725
-38.61,27,21.39963
43.983305,27,21.539262
-42.0,45,21.776984
-38.55,25,21.910861
-38.91,25,22.044155
38.372876,27,22.190974
-32.21,24,22.321048
-39.0,40,22.532724
-48.0,51,22.807202
-38.42,52,23.090361
-33.0,46,23.30613
39.0,30,23.46336
-33.0,32,23.616693
-35.26,52,23.879431
-38.45,27,24.011515
-44.2,31,24.175915
37.532001,52,24.449238
-33.0,29,24.603043
35.059259,69,24.942163
38.047933,40,25.15396
-39.0,29,25.293119
38.262466,78,25.70629
-41.77,52,25.973156
32.746269,79,26.358537
32.252101,42,26.564025
-35.31,25,26.683811
-41.45,26,26.819097
-41.04,28,26.964289
32.727586,51,27.20231
-38.7,27,27.33367
35.138492,34,27.509358
-35.58,31,27.654074
-42.0,27,27.791925
38.335714,46,28.02691
-41.26,27,28.174517
-32.25,34,28.332912
-32.4,34,28.500235
-41.79,37,28.693967
37.564195,51,28.959112
35.046154,25,29.099811
-32.51,90,29.841852
32.176895,89,30.280583
-39.0,28,30.419742
-35.79,28,30.557117
-32.45,31,30.713469
-32.58,27,30.874217
-41.27,28,31.011978
-35.27,40,31.211837
-33.0,40,31.420747
-41.45,39,31.620749
-35.76,43,31.815816
-47.38,25,31.94268
-38.28,31,32.086251
34.125818,51,32.341909
-38.38,25,32.466486
-44.47,35,32.64736
-39.0,48,32.886367
-35.18,31,33.045138
-41.57,27,33.177452
32.018127,59,33.478756
35.369048,34,33.651705
41.331343,32,33.813725
-35.72,29,33.966907
35.5,44,34.195672
-41.73,30,34.354385
35.931818,27,34.497827
-33.0,36,34.677195
-33.0,33,34.846243
-32.79,31,34.99989
36.0,30,35.14697
-35.38,47,35.382232
-41.16,39,35.601985
-35.36,30,35.755582
-47.69,30,35.906834
-41.74,33,36.069159
32.668712,41,36.276074
33.0,29,36.419011
-32.86,35,36.59129
37.59959,56,36.874197
36.0,52,37.132529
-38.94,27,37.273172
-35.91,32,37.426991
38.265455,22,37.533178
-33.0,85,37.963547
-32.65,42,38.174829
-35.46,42,38.374122
-32.32,44,38.587719
-41.33,35,38.76261
-42.0,39,38.95425
41.740741,38,39.140131
33.0,41,39.351816
32.021127,40,39.558612
35.277311,24,39.676959
-38.64,36,39.880944
-38.2,45,40.085124
-32.57,39,40.269162
-32.36,38,40.459141
-44.12,28,40.602114
-32.14,59,41.249263
-38.39,29,41.396321
-42.0,29,41.545688
32.221311,34,41.726736
-36.0,31,41.881713
41.612272,31,42.020197
-32.69,38,42.218133
-35.62,35,42.391578
-32.21,40,42.582321
34.775218,63,42.907839
-32.32,39,43.10459
-32.02,31,43.257778
-32.51,50,43.504343
-32.6,32,43.667131
-33.0,37,43.859235
-32.91,34,44.024944
-35.42,28,44.172847
-35.62,33,44.339776
-39.0,25,44.469486
-32.74,30,44.625441
-41.81,25,44.754414
-41.39,21,44.865844
-35.68,56,45.135578
-39.0,41,45.334716
32.338462,51,45.587657
-32.7,51,45.830097
-33.0,32,45.989434
-38.15,26,46.121589
35.114251,55,46.411199
-36.0,32,46.577846
-35.81,25,46.701154
32.637195,71,47.072223
-32.03,65,47.405868
-32.58,29,47.551755
-32.67,27,47.688755
35.524306,34,47.863281
37.953513,36,48.047193
32.954887,42,48.265802
-32.79,32,48.427476
-41.85,28,48.570602
-33.0,26,48.704569
-32.19,47,48.937132
-35.37,33,49.104831
-32.87,34,49.258443
-32.84,44,49.468775
33.0,23,49.583788
-38.24,33,49.762779
-44.32,32,49.935928
-39.0,25,50.063706
-35.36,35,50.236186
-44.46,22,50.354797
32.803279,26,50.51072
33.0,36,50.696984
-32.62,57,50.984277
32.440141,38,51.218171
-45.0,34,51.398003
32.457912,34,51.57044
-32.52,48,51.782908
-39.0,28,51.905919
-36.0,34,52.047015
-36.0,63,52.313536
35.091854,28,52.449816
-44.71,32,52.6064
33.0,30,52.731437
-38.67,43,52.946357
-35.31,36,53.125952
-36.0,42,53.323114
-35.65,27,53.463623
-38.93,34,53.684728
-35.91,41,53.903952
-40.65,29,54.066245
32.188679,40,54.261998
-32.39,41,54.931454
-36.0,38,55.114931
32.608209,49,55.382036
32.085502,35,55.58011
-32.12,31,55.76419
35.635204,27,55.924625
-38.69,22,56.057538
32.229787,33,56.252286
-35.47,38,56.477533
-35.07,29,56.645617
-32.17,39,56.85982
-35.39,30,57.016396
-32.27,40,57.229914
35.603113,34,57.436716
32.4375,50,57.752887
35.003448,42,58.002494
-41.75,21,58.094526
35.331261,55,58.375644
-35.05,37,58.561329
32.290909,33,58.734586
33.0,45,58.979829
33.0,27,59.11677
-33.0,34,59.282427
-32.09,42,59.500566
32.121771,35,59.67779
39.0,57,59.975528
-32.76,34,60.143347
-32.45,47,60.387028
37.925955,24,60.501047
-41.07,25,60.629848
-41.38,28,60.781129
-32.86,34,60.962915
-41.81,23,61.081806
-33.0,46,61.322555
32.567901,36,61.523315
-32.57,40,61.737605
-33.0,38,61.925307
-35.15,27,62.063683
-38.19,38,62.253167
-35.95,25,62.40641
33.0,32,62.574101
38.607087,29,62.713392
-32.71,34,62.856871
38.392308,30,62.993586
-35.68,35,63.168619
-38.5,31,63.318281
-35.86,41,63.527704
-38.03,21,63.648277
35.597973,45,63.908389
-35.38,29,64.064564
33.0,33,64.244957
-32.68,33,64.380132
32.853896,47,64.585232
-35.33,34,64.738724
-41.52,22,64.854101
-41.21,18,64.94562
-35.9,52,65.180662
33.0,30,65.31808
-38.01,31,65.49202
35.428016,26,65.615343
-41.44,39,65.802253
-32.91,34,65.939975
32.206107,35,66.072634
-35.2,41,66.233734
-41.54,36,66.374123
-35.54,36,66.512745
-36.0,37,66.701709
-38.71,26,66.844716
-36.0,25,67.00104
-44.3,21,67.134439
-36.0,35,67.287817
34.889067,51,67.56519
-41.84,31,67.732856
-35.27,43,67.940571
-33.0,34,68.117318
-36.0,42,68.344981
-38.71,24,68.475173
30.0,42,68.68621
40.78326,44,68.922447
35.677656,38,69.146323
-32.87,27,69.275492
35.141888,28,69.428919
37.956444,27,69.589524
32.801471,34,69.777241
32.636364,29,69.95448
-35.54,37,70.155758
-35.38,34,70.362465
-35.77,32,70.534804
-35.01,32,70.71199
-32.97,31,70.88915
-38.47,29,71.047051
-38.72,35,71.253547
-32.14,37,71.462907
