#{"t_start": 1751995681.3576336, "env_id": "None"}
r,l,t
32.359259,72,2.631426
-32.15,64,3.303231
43.09123,64,3.693326
44.585455,28,3.86849
43.291716,39,4.105582
-32.67,54,4.440179
37.446201,42,4.695984
35.389892,35,4.897704
-35.24,47,5.166921
47.038961,24,5.316123
-35.27,52,5.615965
35.191328,33,5.822218
35.602837,41,6.046957
-32.2,46,6.302864
36.0,35,6.482325
-32.1,68,6.863112
35.901408,34,7.21937
33.0,81,7.65255
-33.0,73,8.038491
41.467845,49,8.304248
38.692308,71,8.687331
33.0,68,9.116239
38.44196,33,9.321185
38.872549,35,9.53243
33.0,42,9.799538
37.764957,54,10.109658
-32.6,69,10.549428
32.795556,45,10.813689
47.282138,29,10.966843
44.855219,54,11.276885
-33.0,64,11.625263
34.812406,50,11.921623
32.298013,60,12.236948
35.989655,53,12.518444
32.586498,55,13.048373
33.0,77,13.450869
39.972045,63,13.77062
-32.76,49,14.033024
42.0,21,14.153745
32.696319,74,14.559184
32.636,52,14.827363
-32.74,62,15.157314
-35.47,39,15.366364
42.395388,41,15.596239
32.471154,48,15.847598
33.0,53,16.110018
35.099644,64,16.432991
-32.39,51,16.693937
42.231001,40,16.903181
-38.93,107,17.473084
32.327338,73,17.844236
-32.95,69,18.194841
44.879599,35,18.371881
44.255814,48,18.616624
-35.09,93,19.080008
30.0,67,19.660761
38.517361,68,20.028882
38.657209,104,20.593652
47.73065,46,20.826269
35.627323,38,21.014037
-32.23,47,21.249124
44.237261,38,21.453128
-32.79,54,21.728711
41.347208,62,22.042067
33.0,44,22.259742
32.274834,56,22.547398
39.973366,46,22.786128
41.684588,42,22.999457
32.761733,53,23.286178
41.792254,30,23.435316
32.628472,61,23.740902
-33.0,153,24.51001
32.041825,46,24.750096
35.559337,62,25.054095
-34.9,86,25.484531
34.867792,58,25.786764
38.24011,41,26.00298
-34.43,67,26.347654
35.156908,75,26.731135
39.0,36,26.92931
38.093234,36,27.112816
41.461247,66,27.73531
-32.87,79,28.144159
43.824397,40,28.355443
41.478431,43,28.552998
-40.3,51,28.822481
32.9,48,29.06466
38.262626,37,29.258717
40.826865,34,29.42751
38.665563,44,29.646394
35.484444,33,29.819276
39.769675,40,30.028386
-32.87,84,30.442723
40.857495,30,30.602696
35.330089,41,30.801413
-37.7,111,31.351802
38.25,38,31.548885
35.387833,36,31.743874
37.510866,70,32.088012
38.086285,120,32.723573
32.518072,37,32.910469
43.686092,21,33.027271
43.90099,23,33.154141
32.724832,58,33.428318
35.675824,39,33.623897
39.962945,56,33.910802
32.637602,68,34.239204
