#{"t_start": 1751997495.6146967, "env_id": "None"}
r,l,t
-35.71,45,2.090427
35.301325,30,2.293054
-38.66,36,2.518585
-37.73,35,2.764443
-38.44,50,3.082795
-33.0,45,3.367758
-39.0,34,3.588046
-38.62,70,3.999209
-32.71,49,4.278075
-32.77,25,4.412204
-42.0,25,4.554292
-41.71,23,4.683922
-39.0,36,4.893676
-47.94,31,5.066989
-32.5,42,5.302023
-36.0,40,5.509019
-38.22,37,5.710019
-38.65,48,5.955057
-44.2,19,6.056188
-38.88,31,6.233307
-35.36,47,6.488798
-41.29,33,6.832037
-35.88,38,7.032757
-32.36,25,7.1653
32.186047,44,7.39456
-32.91,32,7.558868
-38.2,35,7.724467
-38.68,31,7.874028
-35.68,37,8.064019
-45.0,21,8.176583
-35.51,40,8.389327
-32.07,39,8.59426
-44.05,38,8.803471
-41.16,27,8.940342
-32.12,32,9.103145
-32.91,47,9.343388
35.519841,50,9.581364
-39.0,32,9.748194
-35.83,42,9.973908
-38.78,37,10.161083
-42.0,20,10.270872
33.0,44,10.502934
-35.79,31,10.662509
32.671642,63,10.986107
-33.0,24,11.105379
-41.58,60,11.401216
-36.0,28,11.54023
32.514644,45,11.760253
-32.34,48,11.99445
-42.0,19,12.094426
-35.29,42,12.301744
-42.0,16,12.387125
-35.2,41,12.581899
32.155405,37,12.761996
-38.48,34,13.111375
-35.35,51,14.050426
-41.72,51,14.299413
-41.31,20,14.402029
-35.01,37,14.596887
-35.13,40,14.813074
-35.47,31,14.97655
-32.41,57,15.278153
41.228192,44,15.515702
-35.01,28,15.65746
-47.08,61,15.950819
-41.78,54,16.215058
-47.55,18,16.311592
-32.71,43,16.527614
-40.96,37,16.715943
-33.0,56,16.999591
-41.54,20,17.103788
-35.78,34,17.281177
32.625387,34,17.446109
-39.0,33,17.605759
-38.91,31,17.761376
-35.5,31,17.908792
-35.83,41,18.109794
-35.19,37,18.288387
37.875853,30,18.43571
-41.78,30,18.583595
33.0,40,18.771918
35.633197,37,18.96124
-35.4,31,19.106203
-32.71,41,19.306175
35.269993,40,19.498927
-32.12,37,19.677021
-35.12,41,19.880294
-35.14,49,20.123216
-38.14,48,20.357135
-41.2,30,20.501848
-41.9,19,20.81599
-32.72,35,20.983001
-41.23,41,21.190412
-41.27,27,21.325005
-38.91,32,21.487471
-35.53,26,21.612857
-39.0,19,21.712512
-38.56,35,21.877944
32.055556,63,22.171146
-32.14,35,22.335095
-38.25,31,22.488919
-32.17,38,22.666993
34.788667,32,22.815383
-35.28,26,22.933037
-35.52,34,23.09297
38.341549,32,23.251773
-36.0,31,23.408585
32.076046,43,23.651106
-32.36,39,23.858312
35.456274,37,24.039261
34.937749,35,24.222303
-35.13,40,25.073264
35.177778,28,25.215007
-38.43,30,25.369442
32.480315,48,25.615137
-39.0,40,25.813532
-47.72,35,26.010895
-41.24,31,26.166592
32.753425,41,26.396408
-39.0,26,26.5337
-38.3,33,26.696553
-40.82,34,26.868302
-39.0,36,27.048443
-38.78,23,27.16516
-36.0,44,27.382077
-38.5,23,27.490095
-44.31,35,27.658945
-33.0,64,27.982843
-35.82,50,28.226365
-33.0,35,28.403339
-41.16,37,28.592479
33.0,45,28.816871
-32.08,32,28.965284
-38.6,52,29.219772
-32.52,38,29.391094
-44.78,31,29.540374
35.73384,35,29.709731
35.342156,61,30.297862
-37.78,38,30.482416
42.875713,39,30.677652
35.746479,27,30.795638
-35.31,50,31.03901
