#{"t_start": 1751993983.4978962, "env_id": "None"}
r,l,t
-32.46,59,2.248724
35.106122,53,2.575169
40.706404,38,2.794363
37.21087,54,3.147642
38.3116,61,3.531488
43.962189,21,3.675081
32.753378,89,4.170979
-32.22,59,4.466879
42.636671,32,4.64089
40.331066,33,4.835505
43.022906,46,5.110572
42.466901,42,5.343879
40.345691,40,5.572923
43.017609,45,5.816106
40.371639,27,5.964742
40.788729,26,6.099903
-33.0,53,6.554626
-38.05,74,6.938077
41.391083,37,7.128024
34.54663,61,7.431347
43.777192,42,7.639813
41.467949,24,7.765511
44.362137,44,7.996807
33.0,56,8.269816
35.044872,50,8.530249
36.876256,56,8.841013
-33.0,77,9.214897
-32.26,49,9.462286
38.605844,88,9.947004
32.377834,53,10.239408
30.857664,43,10.440397
38.021867,37,10.623198
37.355881,60,10.930137
39.850406,68,11.269011
34.98425,44,11.488834
34.93684,51,11.935164
32.84434,50,12.179648
32.084507,62,12.497165
-37.51,36,12.681861
38.329761,30,12.843232
41.425074,42,13.051234
35.718519,57,14.014426
36.0,39,14.203221
37.749725,41,14.425776
-34.93,51,14.676385
-33.0,47,14.89847
-32.16,78,15.279849
-32.45,54,15.57245
41.121739,42,15.779876
35.370861,46,16.01532
37.809321,35,16.203558
-37.64,69,16.555454
-34.79,76,16.938273
32.326923,69,17.253872
35.75,37,17.441506
-32.33,35,17.617581
-32.32,56,17.88068
43.844056,40,18.083785
-32.4,100,18.849368
38.422481,43,19.055987
-32.24,47,19.292622
43.246744,44,19.522087
44.267925,29,19.661028
38.126266,42,19.869707
-34.74,71,20.226594
-36.94,45,20.444001
-37.14,44,20.639589
34.789573,80,21.047485
35.743295,56,21.311456
-32.6,56,21.57675
-32.26,78,21.98314
35.607972,59,22.267124
35.326629,94,22.733595
-32.45,92,23.1538
35.709924,50,23.406908
41.445283,32,23.5539
-32.64,81,23.938207
40.684745,65,24.264891
-36.0,44,25.045172
35.44721,40,25.222483
40.953551,42,25.436837
40.700619,25,25.5637
-33.0,96,26.012058
41.581132,41,26.206236
33.0,50,26.438245
34.386415,76,27.07355
38.342225,31,27.21801
-37.51,43,27.427737
-33.0,60,27.738544
32.621118,57,28.018497
32.62116,74,28.371583
-34.76,70,28.711934
-34.87,93,29.15366
40.947325,43,29.353407
36.977579,34,29.521813
32.84375,52,29.778764
34.847546,45,29.993377
34.42332,61,30.278068
43.500304,30,30.408414
44.472751,43,30.616407
41.731132,40,30.801191
43.38019,52,31.05812
43.981426,38,31.243159
-32.37,93,31.681681
40.477027,47,31.910513
-33.0,101,32.397624
41.111355,66,32.715766
-32.35,64,33.016034
43.582118,45,33.2384
39.0,23,33.345853
35.131687,38,33.520143
43.953882,26,33.654036
-36.62,66,33.972608
40.177364,40,34.168832
35.906716,48,34.359873
40.076504,49,34.597773
40.945705,26,34.733778
-38.89,35,34.878443
32.213523,51,35.669387
32.485075,54,35.924048
32.525735,44,36.12419
43.61774,44,36.33495
35.418719,42,36.878503
43.655772,42,37.10089
35.550781,46,37.313525
35.060126,47,37.532995
43.592137,64,37.859426
44.011108,27,37.998192
34.156188,44,38.211324
32.722222,47,38.441459
-33.0,72,38.816201
32.261044,71,39.143625
34.842001,59,39.433259
43.55784,37,39.605169
44.742121,30,39.757354
38.276688,29,39.895715
-32.51,103,40.394062
35.696552,46,40.610514
35.487603,74,40.956146
-37.23,58,41.241885
38.10097,35,41.41086
38.700935,52,41.670529
40.703884,35,41.841728
-32.39,106,42.359745
32.066667,47,42.569717
35.15625,46,42.776247
37.841372,64,43.081233
40.472577,40,43.274298
-32.95,170,44.07644
41.447876,24,44.19127
38.339882,49,44.419598
30.0,84,44.816896
-33.0,60,45.102684
35.230508,41,45.294935
35.524621,30,45.434926
38.638298,33,45.592053
32.153333,34,46.303194
33.0,85,46.705587
-32.55,50,46.950016
-32.47,54,47.203045
-38.35,38,47.385053
32.76259,59,47.667279
32.606684,37,47.834564
-36.0,48,48.070109
44.891156,21,48.172746
37.604388,51,48.830392
-37.67,33,48.991889
-39.5,46,49.192919
38.603226,87,49.599746
32.548701,96,50.032156
38.81749,48,50.245797
41.140025,31,50.384442
37.101584,82,50.79937
32.202381,112,51.360452
40.904513,45,51.587266
39.0,40,51.788267
32.949664,85,52.162574
41.343324,39,52.340497
35.158333,37,52.511756
32.288321,40,52.695577
41.571056,49,52.932249
45.722539,27,53.068232
32.738462,96,53.560642
35.833333,75,53.904872
38.246355,62,54.203802
-35.22,46,54.4182
33.0,74,54.77916
32.634615,93,55.240667
33.0,32,55.3855
32.231618,127,56.018354
40.365788,69,56.36655
37.825564,55,57.224961
41.093985,45,57.450794
-37.04,54,57.727365
47.466165,29,57.880219
39.0,35,58.059688
40.594208,31,58.208782
-37.85,45,58.435548
44.544106,43,58.644579
38.641129,39,58.833698
37.3265,60,59.121313
41.325793,53,59.395227
38.757042,24,59.514641
-32.61,59,59.79998
35.268456,71,60.15383
-34.79,39,60.336977
-38.52,56,60.617428
43.53486,32,60.778848
-32.61,58,61.049553
43.829255,32,61.217913
38.192026,61,61.503496
35.296443,43,61.700622
-34.92,65,62.007273
40.915001,38,62.202724
32.878049,46,62.42025
32.011321,128,63.577624
38.915323,32,63.726338
-32.42,66,64.060831
46.613609,30,64.205406
39.475526,47,64.389012
41.112208,52,64.642035
35.877323,32,64.783237
37.210056,78,65.157719
38.515038,69,65.48095
-35.63,85,65.888266
35.186047,40,66.082662
-38.01,40,66.291519
-35.5,55,66.555006
40.143993,31,66.711059
44.293475,38,66.900346
