#{"t_start": 1750378271.4069536, "env_id": "None"}
r,l,t
34.97318,55,3.450647
-32.88,61,3.905668
37.293485,45,4.243354
35.607143,23,4.466804
-41.67,99,5.070264
38.413655,39,5.393485
-32.5,46,5.75492
35.486207,77,6.277262
37.985773,78,6.751536
35.022534,109,7.651444
43.682523,23,7.872113
34.654191,104,8.476188
-32.21,37,8.748135
39.802193,68,9.190135
-32.89,73,9.636268
39.574918,69,10.070237
-32.94,88,10.595158
32.532319,56,11.008638
43.368661,52,11.358646
32.121771,77,11.922141
44.290873,42,12.25585
-38.11,53,12.659731
35.509857,125,13.699935
-43.09,32,13.978099
-32.25,97,14.68546
41.689362,53,15.070195
35.60424,61,15.542608
-33.0,67,16.014689
32.203463,64,16.432769
-32.13,99,17.067729
35.644828,44,17.406339
37.814557,35,17.727557
41.486408,52,18.117237
45.163929,61,18.540206
40.91445,47,18.891781
32.797619,71,19.39676
37.784349,47,19.816608
41.061663,40,20.122137
42.944427,40,20.424205
43.62059,40,20.746302
43.410907,46,21.344773
-32.92,100,21.978397
-32.91,40,22.278941
36.0,75,22.790962
37.673729,56,23.193322
44.388199,38,23.510087
-40.19,47,23.871538
-35.19,58,24.259803
-38.0,67,24.769858
35.496552,52,25.150511
38.268175,42,25.488506
37.445896,51,25.856308
41.156174,24,26.094174
38.117713,37,26.394511
32.511811,92,26.998822
32.362264,40,27.312956
-41.23,46,27.667149
-37.17,48,28.012518
40.790416,35,28.314812
40.516851,70,28.856176
-32.94,51,29.243157
41.754098,31,29.506083
35.282529,38,29.858057
41.106673,37,30.128418
-32.38,61,30.558648
40.535122,30,30.842315
-32.84,61,31.575511
-33.0,67,32.051457
37.841849,45,32.391337
40.08427,30,32.685174
-35.5,63,33.093312
44.414179,23,33.308156
44.155844,35,33.564233
38.155477,27,33.784474
40.193837,53,34.108241
32.34058,30,34.329779
-34.57,48,34.650076
32.954023,85,35.136102
34.402448,46,35.468498
-30.0,54,35.828928
33.0,47,36.161951
41.442469,40,36.44373
38.074906,39,36.719089
36.822787,61,37.079689
35.270744,56,37.419689
-33.0,56,37.800029
38.081395,61,38.182147
45.839013,36,38.438141
41.389513,32,38.674937
44.875519,16,38.842847
40.900229,42,39.153192
-32.47,64,39.532918
35.073529,49,39.944712
40.516281,54,40.475694
40.109333,50,41.017662
39.0,30,41.360046
-32.76,48,41.81828
-32.44,56,42.392676
42.947833,27,42.689999
32.097561,80,43.403943
44.507505,41,43.822762
43.526262,30,44.166007
32.9,57,44.943295
44.349586,49,45.374304
32.45283,112,46.294073
42.673042,61,46.820522
35.263053,64,47.414153
32.484694,66,48.075903
38.068892,46,48.515894
38.355705,29,48.86762
47.206921,17,49.125506
43.273339,52,49.590238
-41.11,45,49.979561
35.136929,53,50.46792
32.586614,42,50.854303
37.825865,63,51.41469
35.032051,34,51.756196
35.129183,41,52.175212
37.876075,52,52.674741
32.431579,98,53.533672
40.825554,74,54.19249
38.064257,31,54.503074
-32.6,56,54.983854
-35.67,43,55.39879
35.244755,51,55.919724
38.083019,56,56.398741
-33.0,68,57.026807
40.778849,30,57.338862
-32.34,70,57.946634
40.979027,27,58.268065
42.0,39,58.660177
41.30855,43,59.074256
32.24031,88,59.848555
37.317737,62,60.404185
43.617885,31,60.724261
36.0,58,61.234502
35.369583,45,61.629988
32.650376,45,62.034223
41.805755,25,62.303313
32.020325,48,62.782629
36.657638,43,63.215118
39.0,47,64.024788
43.434862,37,64.386593
-32.22,54,64.988857
45.0,23,65.279748
34.869925,62,65.860307
-34.68,53,66.332556
43.243724,38,66.732179
39.798605,45,67.151691
38.35042,60,67.673813
-32.85,49,68.117634
32.230508,45,68.565465
-35.75,84,69.325092
-34.66,82,70.021024
-32.52,45,70.471054
44.749319,35,70.850335
46.958118,17,71.094081
44.188235,37,71.508055
42.923639,46,72.090474
39.877523,34,72.514413
32.030534,46,73.052488
42.242816,38,73.583906
39.0,36,74.040561
40.087742,49,74.502369
40.895413,48,75.014673
43.956045,25,75.314824
-32.49,56,75.876447
