#{"t_start": 1751257701.4948792, "env_id": "None"}
r,l,t
-34.92,78,3.386039
40.457179,51,3.756773
-43.72,48,4.160053
37.375456,48,4.533985
38.492119,144,5.440386
34.62096,48,5.789488
-45.41,36,6.075083
30.0,72,6.638453
-32.94,102,7.272815
40.012527,40,7.558736
37.548257,76,8.020382
32.736301,44,8.307904
-32.06,68,8.73754
-33.0,66,9.166113
35.502659,51,9.507226
37.59343,52,9.859323
-32.21,60,10.231936
-32.71,69,10.645714
33.0,56,10.985223
-42.19,53,11.326509
40.923658,55,11.689778
-32.49,55,12.189539
-32.4,74,12.634601
37.357802,40,12.903773
38.362552,43,13.200873
40.969371,42,13.517163
-35.14,86,13.988992
39.0,159,14.814944
-35.63,69,15.244586
32.777448,51,15.553968
35.67803,59,15.909696
32.189003,49,16.231363
-32.32,73,16.68049
37.303484,46,16.977362
32.106452,65,17.379248
-33.0,59,17.72619
32.951128,55,18.068726
35.925094,46,18.578276
-32.12,52,18.901073
-33.0,67,19.294696
37.249703,99,19.804433
-35.84,96,20.350357
38.361047,60,20.709596
-33.0,106,21.285576
32.570136,79,21.763053
32.398305,47,22.050581
37.537264,45,22.341888
-32.88,87,22.803283
-44.09,34,23.040902
34.993957,45,23.381539
-32.41,67,23.765429
-38.92,67,24.160829
-42.87,43,24.44524
35.097561,38,24.699535
-34.25,105,25.283549
37.942461,58,25.62691
-32.79,128,26.544017
32.320896,49,26.842652
32.693798,62,27.256622
38.264808,50,27.577035
-32.9,140,28.346329
40.542536,49,28.667232
-32.04,60,29.020979
-33.0,85,29.561075
-33.0,66,29.934836
-39.43,41,30.232874
-35.26,53,30.57968
-32.51,71,31.018951
-37.86,54,31.33231
-32.83,58,31.672692
35.816795,61,32.038461
35.123683,61,32.391841
35.798561,80,32.839462
-39.74,61,33.24342
-34.58,79,33.683004
-37.77,43,33.965705
40.917065,35,34.196992
38.580508,56,34.653112
37.823433,41,35.062574
32.44086,50,35.523109
40.222208,42,35.923673
-35.62,99,37.056304
-32.07,77,37.73182
41.623016,51,38.187184
35.673841,42,38.589735
40.344053,46,39.017446
-32.74,65,39.61689
-35.48,53,40.105016
37.547101,50,40.555515
41.359651,51,41.020384
38.409774,47,41.487515
40.766019,46,41.960066
32.286667,72,42.609878
32.708333,49,43.108862
38.092572,27,43.445809
-39.85,71,44.097842
-32.92,82,44.84928
38.10059,41,45.25876
32.928058,59,45.798629
-37.32,46,46.216512
34.788466,61,46.82956
-35.7,48,47.303801
40.213895,46,47.725639
32.713396,40,48.090847
38.460042,40,48.472413
43.473765,42,48.850927
-35.59,48,49.292877
-32.68,56,49.772012
-32.2,41,50.156126
40.397136,50,50.612776
40.820857,42,51.018961
-37.29,42,51.427069
-32.27,42,51.827677
37.964302,40,52.207811
-35.38,59,52.725416
42.925955,30,53.047004
-30.0,73,53.660338
43.352089,48,54.095938
40.407892,39,54.482238
32.726115,38,54.868288
38.582375,42,55.630237
40.695146,35,55.986162
39.468467,48,56.438319
-38.69,51,56.905977
-35.16,49,57.408844
37.461893,56,57.992658
35.649254,44,58.434649
32.403042,55,58.928631
39.0,30,59.243156
40.504474,35,59.612907
-32.86,58,60.176838
-34.59,38,60.573579
42.487628,34,60.927633
43.403913,50,61.408601
40.693781,29,61.761302
35.293144,55,62.313192
35.363265,41,62.70674
40.186823,30,63.039964
-32.05,52,63.581729
38.026931,36,63.96864
35.100335,68,64.644592
42.8979,31,64.988703
38.329289,39,65.455038
46.86457,33,65.821825
42.993932,38,66.27086
34.702867,58,66.796965
-32.17,52,67.293644
-32.92,54,67.798517
38.077516,53,68.304166
32.382222,68,68.902093
40.422139,43,69.345053
40.850061,30,69.662325
34.850969,84,70.408542
32.526316,49,70.869309
43.650208,30,71.200912
37.0009,66,71.803441
-32.05,47,72.262576
37.454521,53,72.750622
41.169259,58,73.300418
32.241877,64,73.887637
35.072345,31,74.231908
35.574759,42,74.65092
37.640216,42,75.074299
43.97019,30,75.392833
40.48926,52,75.878985
43.853875,52,76.35858
-38.25,61,76.943736
36.730956,71,77.606379
42.406751,37,77.967682
37.960442,53,78.478106
37.538276,46,78.958806
41.724832,29,79.277654
40.094302,43,79.71004
39.871172,36,80.08132
42.761195,21,80.337179
35.353357,48,81.310582
38.701887,55,81.868303
32.188285,35,82.236528
35.467626,31,82.577096
38.30855,38,82.971433
32.166667,48,83.427423
43.027948,44,83.90171
32.728938,53,84.389056
37.593328,51,84.877948
40.147284,29,85.186165
35.627451,27,85.468709
44.273997,30,85.844698
38.491103,39,86.249404
37.221587,31,86.573297
-35.58,48,87.065534
40.514386,41,87.459619
37.91565,33,87.800481
34.802685,46,88.228398
46.305876,50,88.722102
40.881246,70,89.467366
37.137797,40,89.875944
37.141338,45,90.36686
-34.95,62,90.939535
43.442227,29,91.260465
38.082719,29,91.576672
-35.11,47,92.020796
-32.05,51,92.527321
41.016906,41,92.967924
41.096831,47,93.471541
37.665213,45,93.951563
40.919828,39,94.351987
35.191011,35,94.727329
43.350412,40,95.174808
-32.11,88,95.993772
40.303744,41,96.473207
37.10114,61,97.08509
35.077491,51,97.572675
42.807066,39,97.970923
41.892985,29,98.292692
40.823819,26,98.593985
38.115679,37,98.990546
37.531119,38,99.485471
35.229922,88,100.237807
38.830128,36,100.614754
-32.95,95,101.452801
46.918756,22,101.706254
34.386733,40,102.108549
35.044242,48,102.588256
43.19468,40,102.980831
32.444444,42,103.406822
46.272754,33,103.782878
38.305178,34,104.140206
46.258278,44,104.590976
39.0,29,104.890129
34.755571,52,105.349071
46.827051,27,105.644209
43.364067,54,106.135741
38.413267,41,106.538542
37.692194,44,106.982978
40.330467,54,107.460716
35.124161,56,107.960182
32.148515,59,108.479741
38.858974,46,108.896451
32.340206,38,109.24765
43.802536,30,109.546597
35.854545,55,110.009563
-32.68,61,110.548296
-33.0,54,111.048275
47.51597,34,111.388379
43.623349,22,111.637944
43.123741,38,112.00174
32.321429,49,113.101295
39.520062,67,113.68313
40.50809,28,113.98022
41.396877,28,114.256984
41.234653,36,114.599727
46.356455,30,114.963774
40.038193,25,115.237669
32.684615,51,115.694782
32.211823,51,116.146807
